name, shufersal, carfur, victory, wolt
פרינגלס שמנת בצל 158 גרם, 12.90, N/A, 11.90, N/A
פרינגלס אורגינל 149 גרם, 12.90, N/A, 11.90, N/A
מים מינרלים טבעיים500*12, 19.90, N/A, 19.90, N/A
צבע סמי קיט פלטה מס1-0`, 16.90, N/A, 19.90, N/A
סומרסבי מנגו ליים 330מ`ל, 11.50, 10.90, 9.90, N/A
וודקה בלוגה נובל 700 מ`ל, 134.90, N/A, N/A, ['151.90']
שוק.ריטר חלב אגוז שלם100, 12.90, N/A, N/A, ['15.90']
שוקולד מריר עם מרציפן100, 10.90, N/A, 12.90, ['14.90']
חטיף אמיצ`לי ק.אגוז150ג, 18.90, N/A, N/A, ['19.90']
שוקולד חלב+אגוזי לוז 100, 10.90, N/A, N/A, ['14.90']
שוק.ריטר מריר אגוזים100ג, 12.90, N/A, N/A, ['15.90']
שוק.חלב ממתקים מצופים100, 10.90, 11.00, N/A, N/A
שוקולד לבן סמארטיס 100 ג, 10.90, 11.00, 12.90, N/A
שוק.מריר לינדט70%מילד100, 19.90, 23.90, N/A, N/A
שוק.מריר לינדט 78% 100ג, 19.90, 23.90, N/A, N/A
ספריי מנקה+מסיר אבנית750, 15.50, 15.50, 16.90, N/A
מסיר שומנים סיליט750מ, 15.50, N/A, 16.90, N/A
מלרוד משמיד עובש500מל, 30.90, N/A, 27.90, N/A
דגני בוקר הלו קיטי 311 ג, 24.90, N/A, 22.90, N/A
לבלו שפתון לחות כחול, 11.90, N/A, N/A, ['12.50']
דאו.אקווה קול ספריי 150מ, 19.90, N/A, 17.90, ['18.50']
ניוואה רול און פרל 50 מל, 15.90, N/A, 17.90, N/A
דאו.ניוואה רול און 50מ`ל, 15.90, 16.90, 17.90, N/A
דאו.ניוואה בלק&וייט 150מ, 19.90, 19.90, 17.90, N/A
דאו.ניוואה בלק&וויט רול, 15.90, 16.90, 17.90, N/A
דאו.רול דרי פרש לאישה50מ, 15.90, N/A, 17.90, N/A
ניוואה דאודורנט  לגבר150, 19.90, 19.90, 17.90, N/A
ניוואה רול און גבר דיפ50, 15.90, N/A, 17.90, N/A
דאו.רול און פרש נטורל50מ, 15.90, 16.90, N/A, N/A
דאו.ספרי ניוואה לאישה150, 19.90, N/A, 17.90, N/A
דאו.ניוואה פרש 50 מ`ל, 15.90, N/A, 17.90, N/A
תחליב גוף עור יבש 500מל, 19.90, 27.90, 29.90, N/A
בירה קרומבאכר פחית 500 מ, 10.90, N/A, 9.90, N/A
בירה קרומבאכר 330*6 מ`ל, 37.90, 37.90, 37.90, ['41.90']
בירה קרומבאכר חיטה בק500, 10.90, N/A, 10.90, N/A
בירה קרומבאכר חיטה פח500, 10.90, N/A, 9.90, N/A
חליטת פירות יער20שקיק3*ג, 16.50, 16.20, N/A, N/A
תה ירוק קלאסי 20 שקיקים, 18.90, 19.20, N/A, N/A
חליטת ג`ינג`ר כורכום20שק, 16.50, 16.20, N/A, N/A
אורביט וייט פירות 64גרם, 11.30, N/A, 10.90, N/A
מסטיק אורביט ויט מנטה64ג, 11.30, N/A, 10.90, N/A
אורביט פפרמינט בקבוקון64, 11.30, N/A, 10.90, N/A
מסטיק אורביט אבטיח 64 גר, 11.30, N/A, 10.90, N/A
מסטיק איירוויבז מנטה64ג, 12.40, N/A, 10.50, N/A
מסטיק איירוויבז אוכמנ64ג, 12.40, N/A, 10.50, N/A
אורביט אוכמניות בקבוק64ג, 11.30, N/A, 10.90, N/A
אורביט באבל מינט בקבוק64, 11.30, N/A, 10.90, N/A
סקיטלס בטעם פירות 152 גר, 14.00, N/A, 12.90, N/A
מסטיק בקבוק M ספירמינ84, 16.50, N/A, 15.90, N/A
סקיטלס פירות חמוצים 152ג, 14.00, N/A, 12.90, N/A
מסטיק אורביט תות 64 גרם, 11.30, N/A, 10.90, N/A
מסטיק אורביט ספירמינט64ג, 11.30, N/A, 10.90, N/A
אורביט רפרשרס ספירמינט67, 13.50, N/A, 12.90, N/A
אורביט רפרשרס פפרמינט67ג, 13.50, N/A, 12.90, N/A
אורביט רפרשרס טרופיקל67ג, 13.50, N/A, 12.90, N/A
קורני בייס קרמל סולט138ג, 15.90, N/A, 14.90, N/A
קורני בייס קוקי&קרם138ג, 15.90, N/A, 14.90, N/A
קורני בוטנ.מתוק מלוח6*25, 15.90, N/A, 14.90, N/A
