name, shufersal, carfur, victory, wolt
סנו ג`ל לניקוי כללי 1 ל`, 17.50, 17.50, 16.90, N/A
סנובון כחול שלישיה55*3גר, 17.50, 17.50, 14.90, N/A
סנו מסיר עובש 750 מ`ל, 15.70, N/A, 14.90, N/A
דאו. ג`ל קרבון פאוור 70, 16.50, 16.50, N/A, N/A
סנו אנטי קאלק מרסס 1 ל`, 18.50, 18.50, 16.90, N/A
סנו ג`אול אקונומ.סמיכה4ל, 16.90, 17.10, 16.90, N/A
סנו סושי כרית יפנית 4 יח, 12.50, 10.00, N/A, N/A
אבקת מקסימה ג`אוול 2.5קג, 26.90, 26.50, 24.90, N/A
סושי60שקיות אשפה כחולות, 23.90, 23.90, 21.90, N/A
סושי זוג שקיות אוכל150*2, 14.50, 14.50, 13.90, ['15.90']
סנו סושי 75רב מגבת גמבו, 19.50, 19.50, N/A, N/A
2רדידי אלומיניום0.3*7.5מ, 11.50, 11.00, N/A, N/A
צמד רדידי אלומיניום רחב, 19.50, N/A, N/A, ['19.50']
סושי אלומ.חסכונ0.3 100*מ, 49.90, 50.50, 45.90, N/A
שניצל תירס 750 גרם, 33.90, 32.90, 33.90, ['37.90']
נובלס פילטר פאקט, 390.00, N/A, 363.90, N/A
ופלים מן בטעם שוקולד200ג, 5.90, 5.80, 4.90, ['6.90']
ופלים מצופים טעם שוקו250, 8.90, 7.90, N/A, N/A
ופלים מצופים כחול 22*10ג, 10.90, 9.90, 7.90, ['11.50']
עוגיות חמאה ללת`ס 200 גר, 11.90, 9.00, N/A, N/A
וופלים בטעם שוקולד 500גר, 12.90, 10.00, N/A, N/A
עוגיות מחיטה מלאה מן300ג, 9.90, 7.80, N/A, N/A
עוגיות כוכבים שוקולד 300, 9.90, 7.80, N/A, N/A
עוגיות כוכבים וניל 300 ג, 9.90, 7.80, 7.90, N/A
וופל מן שוקולד ללת`ס180ג, 9.90, 9.00, N/A, N/A
עוגיות שוקולד זהבה 250גר, 9.90, 10.90, 9.90, ['11.50']
עוג.גן חיות וניל 250 גרם, 9.90, 10.90, 9.90, N/A
נודלס אטריות מסולסל200גר, 12.90, 12.20, 10.90, ['12.90']
ציר בקר קנור 300 גרם, 33.90, N/A, 24.90, N/A
נקניקיות פרגיות 400 גרם, 15.50, 15.20, N/A, N/A
פסטרמה רוסטביף יחיעם 150, 31.90, 30.50, N/A, ['31.90']
פסטרמה ברביקיו משקל, 96.00, 96.00, N/A, N/A
נקניקיות `ביס` 380 גרם, 11.90, 14.50, 12.90, ['16.50']
פסטרמה אמיתית גחלים משקל, 96.00, 96.00, N/A, N/A
פסטרמה הודו בדבש משקל, 96.00, 96.00, 93, N/A
פסטרמה בסגנון רומני 250ג, 34.90, N/A, 25.90, N/A
פרושוטו עגל 100 גרם, 33.90, N/A, N/A, ['34.50']
סלמי סרוולט 150 גרם, 29.90, 30.50, 29.90, ['33.50']
נקניק סלמי מעושן 500 גר, 36.90, N/A, 32.90, N/A
פסטרמה צלעות אסאדו עלהאש, 31.90, 29.90, N/A, ['31.90']
סלמי סרוולד אמיתי במשקל, 179.00, 171.00, 164, N/A
סלמי צרפתי מובחר במשקל, 175.00, 171.00, N/A, N/A
פסטרמה של פעם 200 גרם, 26.50, N/A, N/A, ['27.70']
פסטרמה הודו מהמעשנה, 27.90, 30.50, N/A, ['27.70']
כתף בקר מפולפל 150 גרם, 29.90, N/A, N/A, ['31.90']
סלמי סרוולט 250 גרם, 39.90, N/A, 39.90, N/A
נקניקיות עוף 400 גרם, 14.50, 14.20, 12.90, ['16.50']
סלמי צרפתי 250 גרם, 45.50, N/A, 44.90, N/A
סלמי צרפתי 100 גרם, 24.50, 24.50, N/A, ['26.90']
כתף בקר מעושן משקל, 135.00, N/A, 129, N/A
סלמי תה יחיעם במשקל, 60.00, 57.00, N/A, N/A
קבנוס קלאסי 125גרם, 16.50, 16.20, N/A, ['17.20']
קבנוס פפרוני קלאסי 125גר, 16.50, 16.20, N/A, ['17.20']
פפסי פחיות 330*6 מ`ל, 19.90, N/A, N/A, ['20.90']
צ`יפס למיקרו 125*3ג, 16.30, 16.20, N/A, ['17.90']
טבעות בצל 700 גרם, 19.90, 22.20, 19.90, ['23.50']
אבקת הלבנה רן 350ג בדין, 22.90, N/A, 17.90, N/A
בדין מרכך כביסה ורוד 4 ל, 24.90, 25.90, 23.90, N/A
בדין מרכך כביסה בייבי 2ל, 16.90, 17.50, 17.90, N/A
בדין מרכך כביסה כחול 4 ל, 24.90, N/A, 23.90, N/A
תה ויסוצקי כחול 25שק* 1ג, 7.00, 7.90, N/A, ['8.90']
תה ויסוצקי כחול 100שק1*ג, 15.90, 16.90, N/A, N/A
תה ויסוצקי 25שק1.5*גרם, 7.50, N/A, 6.90, ['8.90']
תה קלאסיק 100שק*1.5גרם, 17.90, 18.90, 17.90, N/A
תה ארל גריי 25שק*1.5גרם, 16.90, N/A, 15.90, ['18.90']
תה ארל גריי 50 שק1.5*גרם, 30.90, N/A, 25.90, ['33.50']
תה שחור עם נענע 25ש1.7*ג, 17.90, N/A, 16.90, N/A
גן קסום חליטת קמומיל50ש, 38.90, N/A, 35.90, N/A
חליטת קסם הקינמון25ש*2.5, 19.90, 20.10, N/A, ['22.50']
הגן הקסום הילולי פירות25, 19.90, N/A, 19.90, ['22.50']
הגן הקסום חליטת שומר25שק, 19.90, N/A, 19.90, ['22.50']
חליטת פירות יער 25ש2.7*ג, 19.90, 20.10, 19.90, ['22.50']
הגן הקסום חליטת קמומיל25, 19.90, 20.10, 19.90, ['22.50']
תה שחור עם נענע 50ש*1.7ג, 31.90, 30.50, 30.90, N/A
תה ירוק נענע 25 שק*1.5גר, 25.50, 25.50, 22.90, ['25.90']
תה ירוק לימונ.ולואיזה25ש, 25.50, 25.50, 22.90, ['25.90']
נקניק פרוס לנשנוש צילי60, 13.90, 13.90, N/A, ['14.90']
פרוסות נקניק ברביקיו 60, 13.90, 13.90, N/A, ['14.90']
קבנוס מיוחד 160 גרם, 19.90, N/A, 15.90, N/A
נקניק פרוס לנשנוש פפרו60, 13.90, N/A, N/A, ['14.90']
נקניק תה במשקל, 66.00, 66.00, N/A, N/A
חטיפי מיני קבנוס פיקנטי, 11.90, N/A, N/A, ['13.90']
סלסולי כתף בקר 120 גרם, 17.90, N/A, N/A, ['18.90']
סלסולי סלמי איטלקי 120גר, 17.90, N/A, N/A, ['18.90']
סלסולי פסטרמה הודו 120גר, 17.90, 18.10, N/A, ['18.90']
סלסולי פסטרמה גחלים 120ג, 17.90, 18.10, N/A, ['18.90']
נקנ. אמריקאיות/קרנץ 500ג, 36.90, N/A, N/A, ['39.90']
נקניקיות עוף בואקום 1ק`ג, 27.90, 29.50, 24.90, ['33.90']
נקניקיות עוף 400 גרם, 15.50, 16.20, 12.90, ['16.50']
כתף בקר מעושן במשקל, 131.00, 134.00, N/A, N/A
כתף מפולפל משקל, 131.00, 134.00, N/A, N/A
חזה הודו בדבש במשקל, 100.00, 107.00, N/A, N/A
פסטרמה הודו מעושנת ק`ג, 100.00, 107.00, N/A, N/A
פסטרמה על גחלים משקל, 100.00, 107.00, N/A, N/A
פסטרמה כפרית+סלמי 2*400ג, 29.90, 34.50, 29.90, ['32.50']
גבינה בולגרית, 17.50, 17.20, N/A, N/A
לבנה אבו גוש ירוק15%משקל, 56.00, 57.00, N/A, N/A
חמאה מתובלת 100 גרם, 14.90, 15.20, N/A, N/A
חטיפי נש צ`אנס קלויים200, 9.00, N/A, 9.90, ['10.90']
חלת קונדיטוריה ארוזה500ג, 15.90, N/A, N/A, ['18.20']
יוגורט ביו 3% דנונה 200ג, 4.50, 4.60, 4.30, ['4.60']
דנונה בר פצפוצים 173 גרם, 5.30, 5.50, 5.40, ['5.60']
מנקה אסלות `00` 1 ליטר, 8.90, 9.00, 8.50, N/A
ממרח השחר העולה  500גר, 13.90, 14.90, 13.90, ['16.90']
ממרח בטעם שוקולד השחר1קג, 28.50, N/A, 27.90, N/A
ממרח טעם שוקולד בד`ץ400ג, 12.90, N/A, 12.90, ['14.90']
קפה שחור לנדוור 100 גרם, 9.00, N/A, 10.90, N/A
קפה לנדור לבוקר טחון100ג, 9.00, N/A, 10.90, N/A
גרע.תירס טבעי-מיקרו100*5, 17.90, 18.20, N/A, ['17.90']
XL אפרסק משמש פחית 250מל, 5.00, N/A, 4.30, N/A
חמאת בוטנים טבעית 350גרם, 15.90, N/A, 13.90, ['17.90']
חמאת בוטנים, 26.90, N/A, 26.90, N/A
פיצפוצי אורז מלא, 22.90, N/A, 22.90, N/A
שמרית-שמרים לחים 50 גרם, 4.80, 4.80, 4.30, ['5.30']
שמרית+משפר אפיה ביתית100, 8.00, 8.00, 7.40, N/A
בצק פיצה דק מצונן 415 גר, 17.90, 18.20, N/A, ['18.50']
בצק עלים לאפייה מצונן300, 17.90, 18.10, N/A, ['18.50']
בצק פילו לאפייה מצונן300, 17.90, 18.10, N/A, ['18.90']
בצק כיסונים מצונן 300גרם, 17.90, N/A, 17.50, N/A
נטורינה בטעם חמאה 200 גר, 9.00, 9.00, N/A, ['9.60']
נטורינה בשמן קוקוס 200גר, 9.00, 9.00, N/A, ['9.60']
מרגרינה ללא מלח 200 גרם, 5.50, 5.00, N/A, N/A
מרגרינה בטעם חמאה 200 גר, 5.50, 5.00, N/A, N/A
בייגלה שמיניות+מלח400ג, 11.90, 13.90, 12.90, ['15.50']
מקלות בייגלה עם מלח 400, 11.90, 13.90, 12.90, N/A
ביגל שמיניות גדול+מלח400, 14.90, 16.90, 13.90, N/A
זחוק אדום חריף זהבי150ג, 10.00, 10.00, N/A, ['12.90']
סחוג זהבי ירוק 150 גרם, 10.00, N/A, 8.90, ['12.90']
מלך החומוס סמיר הגדול400, 16.50, N/A, N/A, ['18.50']
מלך חומוס אבו מרוואן400ג, 16.50, 16.90, N/A, ['18.50']
מריטו ענק 500 מ`ל, 22.90, 22.20, N/A, N/A
גבינה לבנה 5% שומן 250 ג, 5.81, 5.81, 5.81, ['5.80']
גבי. טוב טעם 3% 250גרם, 14.50, N/A, 12.90, ['15.50']
גבינה צהובה מגורדת 500גר, 34.90, N/A, 36.90, ['40.90']
פיתות בטעם ביתי 10 יחידו, 12.90, 14.10, N/A, N/A
פיתות כוסמין 10 * 70 גרם, 16.50, 18.20, N/A, N/A
לחמניות חיטה מלאה10*75גר, 13.40, 16.10, N/A, N/A
לחמניות אצבע 75*10 גרם, 13.40, 16.10, N/A, N/A
עלית הארק 700 מ`ל, 64.90, 65.90, 65.90, ['72.50']
גלידל וניל 8 יחידות, 36.90, N/A, N/A, ['39.90']
גלידל שוקו 8 יחי, 36.90, N/A, N/A, ['39.90']
רוטב צלי לבשר בשקית22ג, 5.90, N/A, 3.90, ['5.90']
רוטב פטריות לבשר-אבקה30ג, 5.90, 4.70, 3.90, ['5.90']
לחם ברמן אקטיב 750 גרם, 16.90, N/A, 15.90, N/A
לחם פרוס אחיד 750גר 207, 8.38, N/A, 8.38, N/A
פיתות בשקית 100*5 גרם, 9.50, N/A, 7.90, N/A
לחמניות מקמח מלא 6*75 גר, 14.90, N/A, 12.90, N/A
סוכרזית פטנט 700 טבליות, 16.90, 16.50, 14.90, ['19.90']
קמח ארוז 1 ק`ג, 5.80, N/A, 5.50, N/A
סולת ארוז 1 ק`ג, 5.80, N/A, 5.50, N/A
סוכרה דיאט 100 שקיות, 28.90, N/A, N/A, ['29.90']
יין לבן יבש של סגל750מ`ל, 21.90, 24.90, N/A, ['25.90']
יין סגל לבן רג.ח.יבש750מ, 21.90, 24.90, N/A, N/A
קברנה מרום גליל 750 מ`ל, 40.90, N/A, 37.90, N/A
חלב טרי מהגולן 3% 1 ליטר, 7.28, 7.28, N/A, N/A
חלב טרי מהגולן 1% 1 ליטר, 6.85, 6.85, N/A, N/A
שמנת לבישול 15% 250 מ`ל, 8.90, 9.50, N/A, N/A
מלח ים יבש 250 גרם, 6.90, 6.90, 6.40, ['8.90']
מלח ים דק 500 גרם, 8.90, 8.90, 7.90, N/A
מלח יבש דל נתרן 250 גרם, 11.90, N/A, N/A, ['12.50']
מלח הארץ עדין צנצנת 1ק`ג, 7.90, 7.90, N/A, N/A
מלח הארץ גס צנצנת 1 ק`ג, 7.90, 7.90, N/A, ['9.90']
מיץ תפוזים סחוט 1 ליטר, 23.20, 22.20, N/A, ['21.90']
נקניק תה מעושן רחב במשקל, 61.00, 59.00, N/A, N/A
סלמי פפרוני במשקל, 71.00, 68.00, 64.90, N/A
נקניק מעושן איטלקי במשקל, 101.00, 96.00, N/A, N/A
סלמי מעושן7000- 600 גרם, 35.90, N/A, 31.90, N/A
נקניק סלמי בשן 470 גרם, 31.90, N/A, 27.90, N/A
נקניק קוניאק במשקל, 106.00, 98.00, 99.90, N/A
נקניק מרטדלה רחב במשקל, 46.00, 46.00, 44.90, N/A
נקניק מבשר הודו 750גרם, 25.90, N/A, 19.90, N/A
חזה הודו גולן זוגלובק, 106.00, N/A, 99.90, N/A
כתף בקר מעושן, 139.00, 127.00, 129.90, N/A
נקניקיות וינר 1 ק`ג, 28.90, 32.50, 27.90, N/A
נקניקיות וינר 500 גרם, 21.90, 19.20, 17.90, ['22.90']
פסטרמה חרמון+תה 400+400ג, 33.90, 35.50, 29.90, N/A
פסטרמה בדבש זוגלובק, 106.00, 106.00, 99.90, N/A
חזה הודו ברביקיו במשקל, 106.00, 106.00, 99.90, N/A
כתף בקר בפלפל טורו במשקל, 135.00, 127.00, 129.90, N/A
חזה הודו תבור דל שומן מש, 106.00, 106.00, 99.90, N/A
פסטרמה הודו רומני במשקל, 106.00, 106.00, 99.90, N/A
קריספי סטיקס תירס 500גרם, 22.90, N/A, N/A, ['24.90']
נקניקיות עוף 400 גרם, 13.50, 13.50, 12, ['17.50']
נקניקיות עוף טריות 1 ק`ג, 28.90, 32.50, 26.90, N/A
פסטרמה כפרית ק`ג, 106.00, N/A, 99.90, N/A
נקניקיות מרגז גריל 400גר, 21.90, N/A, N/A, ['25.50']
סטייקבורגר 400 גרם, 21.90, 21.20, 17.90, ['25.50']
בשר עוף טחון קפוא 500 גר, 15.90, 15.20, N/A, N/A
טחון הודו 500 גרם, 14.90, 14.20, N/A, N/A
בשר טחון מובחר 500 גרם, 28.90, 28.50, N/A, N/A
מלבי 160 גרם, 7.00, 7.90, 5.90, ['8.60']
גבינה צפתית5% שומן 350ג, 25.50, 26.90, 22.90, N/A
גבינת מוצרלה 22% 180 גרם, 21.70, 22.90, N/A, N/A
גב.צפתית מעודנת5% 200גרם, 17.90, 18.90, N/A, ['18.50']
גבי.מוצרלה מגורדת22% 300, 28.50, 28.90, 27.90, ['28.90']
ירח מתוק מעד.חלב+אורז150, 7.20, 7.90, 6.90, ['8.70']
לבנה בשמן זית+זעתר5% 250, 18.20, 18.90, 15.90, ['19.50']
גבינה בולגרית 5%במשקל, 59.00, N/A, 66, N/A
ריקוטה גד 5% שומן 250 גר, 17.50, 18.90, 15.90, ['18.90']
גבינה מסקרפונה 40% 250 ג, 26.20, 27.90, 23.90, ['29.50']
כדורי מוצרלה 19%במשקל, 115.00, N/A, 99, N/A
גל גילוח אדג לעור רגיל, 19.90, 20.50, N/A, N/A
אדג פרו גל רגיש 198 גר, 19.90, 20.50, 15.90, N/A
גבינה גאודה 30% משקל, 129.00, 129.00, 110, N/A
גאודה כמון משקל, 129.00, 129.00, N/A, N/A
גאודה תום עיזים30% גד, 179.00, 155.00, N/A, N/A
גאודה מעושנת במשקל, 129.00, 129.00, N/A, N/A
יוגורמה מחלב כבשים5% 850, 30.50, 30.90, N/A, ['31.90']
גבינת תום עיזים פרוס200ג, 44.90, N/A, N/A, ['44.50']
ח.חלווה לייט ללת`ס25*11ג, 14.90, 14.50, 11.90, ['15.90']
לחם אחיד פרוס 750 גרם, 8.38, 8.38, 8.38, N/A
לחם חיטה מלא 750 גרם, 15.50, 16.10, 14.90, N/A
לחם קל מחיטה מלאה 750גרם, 16.40, 16.20, N/A, N/A
לחם חיטה מלא +כוסמין750ג, 15.50, 16.20, N/A, N/A
כוסמין מלא 100% 750 גרם, 19.90, 18.90, N/A, N/A
כוסמין מלא 100% 750 גרם, 19.90, 19.90, N/A, N/A
פילה אמנון קפוא 7-9, 36.90, 39.90, N/A, N/A
נתחוני סויה בטעם בקר, 29.90, N/A, N/A, ['29.90']
נתחוני סויה בטעם עוף, 29.90, N/A, N/A, ['29.90']
נתחוני סויה ט.שווארמה350, 29.90, N/A, N/A, ['29.90']
אל סבון קמיל קלאסיק500מ, 14.50, N/A, N/A, ['17.50']
מים מינרליים מי עדן500*6, 15.50, 16.30, N/A, ['16.90']
מים מינרליים מי עדן750*6, 16.90, 17.30, N/A, N/A
אגקס נוזל כללי לימון 2ל, 25.50, N/A, 22.90, N/A
אג`קס נוזל כללי לבנדר 2ל, 25.50, N/A, 22.90, ['25.90']
פלמוליב לשטיפת כלים 1 ל, 15.90, 15.20, N/A, N/A
אגקס חלונות2*750מ`ל, 27.90, 27.50, 19.90, N/A
משחת אלמקס ילדים 75 מ`ל, 16.50, N/A, 15.90, ['18.90']
מארז קיווי צהוב ניוזילנד, 25.90, 22.90, N/A, N/A
עגבניה שרי כתום יחידה, 10.90, N/A, N/A, ['19.90']
ליצי ארוז, 15.00, N/A, 9.90, N/A
עגבניה שרי צהוב, 10.90, N/A, N/A, ['19.90']
עגבניה שרי שוקו, 10.90, N/A, N/A, ['19.90']
מארז קיווי ירוק ניוזילנד, 25.90, 21.90, N/A, N/A
נבטים סיניים אורגניים, 13.90, N/A, N/A, ['8.90']
מיץ תפוזים סחוט בק.400מל, 15.20, N/A, N/A, ['13.10']
מנות סלמון נורווגי קפוא, 59.90, 60.50, N/A, N/A
סרוולט יבש, 44.90, N/A, N/A, ['44.90']
צמד חמד 700 גרם, 26.90, N/A, 30.90, ['32.90']
קורנביף 180 גרם, 30.70, 30.50, N/A, ['33.50']
פסטרמה100%טבעי יחיעם 250, 32.50, 33.50, N/A, ['27.90']
שמפו נקה 7 רגיל 750 מ`ל, 11.90, 12.20, 10.90, N/A
שמפו נקה 7 יבש/צבוע750מל, 11.90, N/A, 10.90, N/A
מרכך נקה 7 ס`ש 750 מ`ל, 11.90, N/A, 10.90, N/A
ביצים ארוזות XL 12יחידות, 15.32, 15.32, N/A, N/A
ביצים ארוזות L 12 יחידות, 14.09, 14.09, N/A, ['14.09']
ביצים ארוזות M 12 יחידות, 13.00, 13.00, N/A, ['13.00']
ביצים ארוזות 18יח M, 19.50, 19.50, 19.49, N/A
ביצים אומגה3 12יחידות L, 23.90, 20.20, N/A, ['25.50']
ביצי חופש 12יח L, 21.90, N/A, N/A, ['23.50']
ביצים אומגה M 12 יחידות, 21.90, N/A, N/A, ['22.50']
טחינה גולמית אל ארז 500ג, 18.90, 18.90, N/A, ['19.90']
טחינה מלאה 500 גרם, 19.90, 19.20, N/A, N/A
ספרינג קרטון תות בננה 1ל, 6.90, 6.60, 6.20, N/A
ספרינג קרטוניות עגבניות, 6.90, 6.60, 6.20, N/A
ספרינג קרטוניות מנגו 1 ל, 6.90, 6.60, 6.20, ['7.90']
ספרינג קרטוניות אפרסק 1, 6.90, 6.60, 6.20, N/A
ספרינג קרטוניות לימונענע, 6.90, 6.60, 6.20, ['7.90']
ספרינג קרטוניות תפוזים1ל, 6.90, N/A, 6.20, N/A
ספרינג קרטוניות תפוחים1ל, 6.90, 6.60, 6.20, ['7.90']
ספרינג תות בננה פחית330מ, 5.50, N/A, 5, N/A
ספרינג מנגו פחית 330 מ`ל, 5.50, N/A, 5, N/A
גלידל וניל תות 900, 25.90, 25.50, 19.90, N/A
גלידל שוקו פקאן 900, 25.90, N/A, 19.90, N/A
גלידל פרי לימון דייט, 27.90, N/A, N/A, ['29.90']
סב.נוז.פלמול.חלב דבש500מ, 18.90, N/A, 16.90, ['18.50']
פלמוליב לכלים צהוב 750מל, 8.90, N/A, 11.90, ['14.90']
קרמיסימו טעם וניל עוגיות, 21.90, 25.20, 21.90, N/A
גרנולה עם פירות 850גר, 19.90, 21.90, N/A, N/A
טחינה פי 6 שומש.מלא 500ג, 17.40, 19.20, N/A, N/A
טחינה שומש.מלא בארכה500ג, 18.30, N/A, 16.90, ['20.90']
טחינה גולמית מעודנת 310, 14.30, 14.20, N/A, ['15.50']
נקנקיות מיני מרגז חריף, 29.90, 30.20, 27.90, N/A
גב.שמנת בטעם טבעי5% 200ג, 13.90, 14.50, 12.50, ['13.90']
תה ירוק לימונ+לואיזה50שק, 45.90, N/A, 40.90, N/A
אובלטים ק.כוסמין אורג100, 12.90, N/A, N/A, ['13.90']
פסטרמה של פעם 300גרם, 29.90, 29.90, N/A, N/A
קוקה קולה קלאסי, 8.90, N/A, N/A, ['8.90']
קוקה קולה בפלסטיק500 מ`ל, 8.00, 8.50, 6, N/A
פאנטה בטעם אורנג` 500מ`ל, 8.00, N/A, 6, N/A
פריגת תפוזים 500 מ`ל, 7.90, N/A, 5, N/A
פריגת ענבים 500 מ`ל, 7.90, N/A, 5, ['7.90']
בירה קרלסברג בפחית500מ`ל, 11.00, N/A, N/A, ['11.90']
בירה טובורג פחית 500 מ`ל, 11.00, N/A, N/A, ['11.90']
טובורג גרין בק330X6. מ`ל, 46.50, N/A, N/A, ['46.90']
מאלטי בקבוקים 330*6 מ`ל, 29.90, 34.20, 27.90, N/A
בירה טובורג רד בק6*330מל, 37.90, 46.30, 39.90, ['47.90']
בירה קרלסברג בק330*6 מ`ל, 37.90, 47.30, N/A, ['47.90']
תרסיס אקונומיקה לימון1לי, 11.90, N/A, N/A, ['11.90']
גלידיאט שוקו+ 6יח, 29.90, N/A, N/A, ['31.90']
פיסגה אקונומיקה ריחנית4ל, 10.00, 11.00, 10.90, N/A
חטיף צ`יטוס PUFFS פיצה60, 4.50, 4.40, 3.30, N/A
חטיף צ`יטוס בטעם קטשופ55, 4.50, 4.40, 3.30, N/A
סוכר גולדן קלאסי 1 ק`ג, 15.90, 14.20, N/A, N/A
עדשים ירוקות 1 ק`ג, 17.90, N/A, 15.90, N/A
עדשים אדומות 1 ק`ג, 17.90, 17.20, 15.90, N/A
גרעיני תירס 1 ק`ג, 12.90, N/A, 11.90, N/A
שעוות הדבש משי מיקרו500ג, 19.90, N/A, 18.90, ['20.50']
שעוות תפוח משי למיקרו500, 19.90, N/A, N/A, ['20.50']
קשים מתקפלים 40 יח`, 2.00, 1.90, N/A, N/A
100עטרות חום בקופסא מס4`, 5.00, 5.50, N/A, N/A
קישקשים בקופסא 225 יח`, 7.90, 7.00, N/A, N/A
תרכיז עגבנ.פ.ניר28% 580ג, 11.90, N/A, 10.90, N/A
עגבנ.מרוסקות פרי ניר800ג, 9.90, 10.00, 10.90, N/A
רוטב עגבניות פריניר260גר, 4.90, 4.90, 4.90, N/A
רוטב עגבניות פריניר100גר, 2.90, 2.90, 2.30, N/A
צ`יפס בטטה 500 גרם, 19.90, 20.90, 19.90, ['21.90']
ציפס בטטה זיג זג 500 גרם, 19.90, 20.90, 19.90, ['21.90']
טבעות בצל 500 גרם, 16.90, N/A, 13.90, ['17.90']
בלינצ`ס גבינה קפוא 350גר, 16.90, 16.90, N/A, ['19.50']
וופל בלגי חם מהמקפיא280ג, 17.90, 16.90, N/A, ['19.50']
מאגדת קוקי מיקס, 31.90, N/A, N/A, ['32.90']
קוסקוס רגיל 350 גרם, 5.60, N/A, 4.90, N/A
קוסקוס דק 350 גרם, 5.60, 5.70, 4.90, N/A
קוסקוס עבה 350 גרם, 5.60, 5.70, 4.90, N/A
פריכוני אורז+שוק.מריר70ג, 9.60, 9.90, N/A, N/A
צ`יפס אורז חום מלח ים60ג, 7.60, 7.90, N/A, N/A
צ`יפס אורז טקסס ברביק60, 7.60, 7.90, N/A, N/A
אטריות ביצים מס10. 200גר, 9.50, 9.90, N/A, N/A
זיתים ירוקים נובו ענק560, 10.90, N/A, 10.90, N/A
זית מנזנילו ירוק גדול540, 12.90, 12.90, 9.90, ['12.50']
זית ירוק חרוזית ל.גלע540, 14.90, 13.90, 13.90, ['12.90']
טבעות זיתים ירוקים540גרם, 14.90, 13.90, 13.90, ['12.90']
מלפפונים 7-9 במלח 540גרם, 8.90, 8.90, 7.90, ['8.50']
מלפפון במלח 10-12 540גרם, 10.50, 9.00, 8.90, ['9.90']
מלפ. במלח קטן13-17 540גר, 13.90, 10.00, 9.90, ['11.90']
מלפפון במלח 18-25 540גרם, 14.90, 13.20, 12.90, ['14.50']
מלפפונים בחומץ 7-9 540גר, 8.90, 8.90, 7.90, ['8.50']
מלפפון בחומץ 10-12 540גר, 10.50, 9.00, 8.90, ['9.90']
מלפ.בחומץ קטן13-17 540גר, 13.90, 10.00, 9.90, ['11.90']
מלפפון בחומץ 18-25 540גר, 14.90, 13.20, 12.90, ['14.50']
פלפל חריף שיפקה 540 גרם, 8.50, N/A, 5.90, ['8.90']
טבעות זיתים מושחרים540גר, 14.90, N/A, 13.90, N/A
לחמניות בשקית 75*6 גרם, 12.50, 13.20, 10.90, ['12.50']
לחם שיפון גרעינים 750גרם, 15.50, 16.10, N/A, N/A
לחם שיפון כפרי 750 גרם, 15.50, 16.10, N/A, N/A
לחם דגנים לייט 500 גרם, 16.50, 17.20, N/A, N/A
לחמניות המבורגר4אינץ*8יח, 19.90, 20.20, N/A, N/A
לחם אחיד פרוס 750 גרם, 8.38, 8.00, N/A, N/A
לחם אחיד פרוס קל 750 גרם, 15.90, 17.20, N/A, N/A
גב.עיזים5% למריחה 250 גר, 19.90, 20.00, 16.90, N/A
בולגרית מעודנת 5% 250 גר, 26.90, 28.90, 24.90, N/A
גב. טבורוג 5% 500ג, 30.90, 30.90, 28.90, ['32.90']
בורקס פילו גבינה בולגרית, 19.90, 20.00, N/A, N/A
קבב אמיתי 100% 440גרם, 19.90, 21.20, N/A, N/A
פיצה איטלקית דקה 320גרם, 16.90, 16.20, N/A, N/A
דבש מפרחי בר יד מרדכי500, 27.90, 26.50, N/A, N/A
עוגיות מזרחיות שומשום400, 19.50, 20.20, 18.90, ['20.90']
טונה בשמן קנולה140*4ג, 22.90, 23.10, N/A, N/A
המבורגר בלדי קפוא, 16.90, 16.20, N/A, N/A
קבב כבש קפוא 400 גרם, 16.90, N/A, 13.90, N/A
קבב מזרחי קפוא 400 גרם, 16.90, 16.20, 13.90, N/A
קבב רומני קפוא 400 גרם, 16.90, 16.20, 13.90, N/A
דובדבן אדום ארוז, 17.90, 15.90, 12.90, N/A
שום כתוש דורות 200 גרם, 17.90, 17.20, 17.90, ['21.90']
דורות שום במגשית 80 גרם, 13.50, N/A, 13.90, ['14.50']
דורות בזיליקום קצוץ 70ג, 11.50, 11.00, 10.90, ['12.90']
דורות פטרוזיליה קצוצה 70, 11.50, N/A, 10.90, ['12.90']
דורות כוסברה קצוצה 70גרם, 11.50, 11.00, 10.90, ['12.90']
דורות פסטו 160 גרם, 12.90, 12.20, N/A, N/A
דורות תיבול לטחינה 70 גר, 11.50, 11.00, N/A, N/A
רדיד אלומיניום 0.3 * 60מ, 59.90, 60.50, 59.90, N/A
המבורגר מסעדות הקצביה, 25.90, N/A, 29.90, N/A
אבקת אפיה 10*10 גרם, 3.00, 1.90, 1.80, N/A
סוכר וניל 10*10 גרם, 3.00, 1.90, 1.90, N/A
קוקוס טחון 100 גרם, 5.90, N/A, 3.90, N/A
אבקת סוכר 100 גרם, 3.00, 2.60, 1.70, N/A
גחנון 650 גרם, 18.90, 17.90, 12.90, N/A
בורקס תפו`א 800 גרם, 19.90, 20.00, 16.90, N/A
בצק עלים 1 ק`ג, 22.50, 22.50, 16.90, N/A
בורקס גבינה 800 גרם, 19.90, 19.90, N/A, ['22.90']
בורקס מיני גבינה 700 גרם, 19.90, N/A, 16.90, N/A
נביעות ט.אפרסק עדין 500מ, 7.20, 7.50, N/A, N/A
